Thinking overload 
VictoryDay  Trinity Bridge Saint Petersburg 
But Im forever missing him
To distract our hearts from ever missing them
Setting fire to our insides for fun
Cause most of us are bitter over someone
And if youre in love then you are the lucky one
Met Gala  2016 Trends For Your Prom Wedding And Any Other Party  on bloglovin
Gnezdo  Gnezdo 
Sorrow and thoughts about past and you
Saturday morning with my new friend Jim  
INSTAGRAM FEEDS THAT INSPIRE ME Part 2  FASHION  STYLE  on bloglovin
When SaintP is grumpy  Saint Petersburg Russia 
Just show some love today
INSTAGRAM PAGES THAT INSPIRE ME Part 1  SPORT  on bloglovin
RT Interesno_Vsem 
mood 
New look KITTY 
Just really cute tea   Lappeenranta Finland 
Family escape to Finland   Lappeenranta Finland 
Cheers to this beautiful sunny day  Lappeenranta Finland 
KITTY  on bloglovin
My First Dance Video  on bloglovin
MBFWR DAY 5  FASHION SHOWS  on bloglovin
Guilty pleasure Happy Birthday  
Appreciate Your Beauty  on bloglovin
New look ARCHITECTURE 
WANT  AuPontRouge 
fashionmindru Details from the latest outfit post on my blog fashionblogger styleblogger 
fashionmindru New outfit post fashionblogger blogger styleblogger 
MBFWR LOOK 4  ARCHITECTURE  on bloglovin
MBFWR DAY 4  FASHION SHOWS  on bloglovin
moodoftheday 
New look FRENCH BREAKFAST 
fashionmindru Details from the latest FrenchBreakfast outfit post on my blog blogger 
MBFWR LOOK 3  FRENCH BREAKFAST  on bloglovin
Friends   Gusto italian restaurant and Gustomaestro culinary school 
SaintP 
RT Interesno_Vsem 
MBFWR DAY 3  FASHION SHOWS  on bloglovin
My fave look lately with sonumberone tutu More photos on my blog fashionmindru 
Flowers give away their energy to nourish womens beauty and then fade 
New look MIDNIGHT 
New postfashionmindru blogger fashionblogger styleblogger russianfashionblogger style 
fashionmindru  skirt sonumberone  necklace liza_odinokikh_brand blogger fashionblogger 
MBFWR LOOK 2  MIDNIGHT  on bloglovin
Tough shit5 workouts and 3 dance classes this week But Im sure Ill deal with it 
MBFWR DAY 2  FASHION SHOWS  on bloglovin
My little garden 
Back home to my beloved 
New look PINK BREAKFAST 
My first look for MBFWR More outfit posts and fashion show reports on my blog 
Thug fashion life in Moscow 
City life Moscow  Red Square 
Couldnt resist  krispykreme  Kruspy Kreme 
One of my fave accessories  Jord wood watches woodwatches_com  
Craig Arend is so handsome and stylish  _ Saw him at the conference today craigarend
Details from the latest outfit postfashionmindru  brooch tinakhmelnitskaya blogger 
MBFWR LOOK 1  PINK BREAKFAST  on bloglovin
Some details of todays lookMore photos of my MBFWR looks on the blog soonfashionmindru  
Flower artBeautiful bouquet from dear paulkuzu  
Happy girlsonumberone 
If life throws you lemons make lemonade
Who run the world GIRLS  
New postfashionmindru12 WAYS TO BE ACTIVE LOVE SPORT AND HEALTHY FOOD blogger lifestyle 
A small change in my morning routine  some berries added to classic porridge Good choice for a 
New look PONY DREAMS 
New postfashionmindru blogger fashionblogger styleblogger russianfashionblogger 
PONY DREAMS  on bloglovin
My Birthday Wish List  Part 2  on bloglovin
Just posted a photo 
New postfashionmindru blogger fashionblogger styleblogger russianfashionblogger 
New look KNEEHIGH BOOTS LOOK 
KNEEHIGH BOOTS  on bloglovin
Feeling unloved
My Birthday Wish List  Part 1  on bloglovin
New look GIRLY WINTER 
New postfashionmindru blogger fashionblogger styleblogger russianfashionblogger 
GIRLY WINTER  on bloglovin
Weekend is for redlips  
New look HAPPY WINTER 
INSPIRED BY  on bloglovin
nofilter needed for SaintP today 
Red everything snupped starbucks starbucksrussia moleskine 
Memories of 2015 Collioure  on bloglovin
tbt Just an old photo that I like 
My magical frozen city SaintP   Summer Garden 
Cute NY Gifts From Friends And Myself  on bloglovin
There is a true winter in my little Italy today saintp littleitaly coliseum russianwinter  
MY 2015  on bloglovin
Are you serious SaintP   Saint Petersburg Russia 
Santa arrived early this timePresent from dear mum jomalone iwasagoodgirl santalovesme 
Weekend in festive Moscow  on bloglovin
RT Interesno_Vsem 
rich bitch
MY WISH LIST  Part 1  on bloglovin
Time for friends  Red Square 
RedSquare playingtourist  Red Square 
Just posted a photo  Moscow Kremlin 
latte art  Sekta cafe 
fashionmindru piubello tirisi uniqlo_russia uniqlo_spb fashionblogger styleblogger 
PiuBello Tirisi New post is up on my blog fashionmindru jewelry styleblogger 
PIU BELLO  on bloglovin
If it scares shit out of you you are on the right path
Cool guys 
RT Interesno_Vsem 
Sometimes I like women with loads if make up
FAUX FUR MADNESS  on bloglovin
New look FAUX FUR MADNESS 
Daily Routine Changes Needed  on bloglovin
"Good morning

New post is up on my blog

fashionmindru "
All good things come to an end  Need more scented candles for this cold season 
ICONDIGITAL Magazine named me among digital influencers and reliable Russian fashion bloggers for 
"I bet these memories
Follow you around"
I worth all the best
Im on Periscope Follow me  FASHIONMIND  on bloglovin
Just posted a photo 
Heart crash day
MY HAIR BEAUTY SECRETS  on bloglovin
I just need some kind words
New look RARE BLACK LOOK 
RARE BLACK LOOK And Some Thoughts About Blogging  on bloglovin
New post with some thoughts about blogging is up on my blog fashionmindru 
Its up to you 
"Im dreaming about who we used to be
When we were younger and free
Ive forgotten how it felt before "
Good morning We have breakfast at Tiffanys with Audrey streetart 
Walking alone  Palace Square 
Shopping today Red is a color of power marmeladova_buketik 
Just posted a photo  Polyany Leningradskaya Oblast Russia 
New look WHITE 
WHITE  on bloglovin
fashionmindru 
New look In Love with Wood Watches 
New outfit post is up on my blog fashionmindru 
In Love with Wood Watches  on bloglovin
Music therapy 
TATYANA PARFIONOVA The Love for Oranges Fashion Show  live streaming  on bloglovin
When you decided to read some fashion blogs but the only thing you see is a huge distraction 
Weekend be like  Summer Garden 
El classico 
Hello 
Best Dressed of August  on bloglovin
Chillin with my boys   Im Thankful for Today 
Done is better than perfect
New look EARLY BIRD 
"New outfit post is up on my blog

fashionmindru

blogger fashionblogger "
EARLY BIRD  on bloglovin
Dream place dream palace  Yelagin Palace 
extreme40  Peter and Paul Fortress 
Just posted a photo 
Magic is near 
Fresh start  Jazz Bar 48 Chairs 
Blue I love you 
New look SQUARE PANTS 
New outfit post on the blogfashionmindru blogger fashionblogger styleblogger 
SQUARE PANTS  on bloglovin
Lunch time with colleague denis_vedrentsev 
Details from the latest outfit post on my blog fashionmindru blogger fashionblogger 
FANCY PANSY  on bloglovin
Just posted a photo 
Wouldnt mind to draw my own reality with no sorrow 
CharlieHimmelstein is cool as fuck He definitely needs to choose a path of an actor Laughing all night long at his Insta videos
VEG SUNDAY 3 Healthy Breakfasts I Love  on bloglovin
Congratulations to my Superhero Gold and silver in LA 
Nothing new today Just relax and few hours on a cold beach So here is my happy selfie from the 
Girona architecture 
Always somewhere deep in my heart This place is reserved for you
Good morning world 
Arbúcies  Arbucias Cataluna Spain 
Montsoriu  Fogueres de Montsoriu 
Urban mix barcelona 
My always hungry friends in Barcelona  Rambla de Mar Barcelona Spain 
What its like to be inside the cloud New post about our trip to the mountains of Montseny is up 
Mountain climbing in Montseny  on bloglovin
sunsetbeach  Playa FanalsLloret de Mar 
gaudi  La PedreraCasa Milà 
Admire the sea  Blanes Playa 
puertodeblanes 
blanes  Puerto de Blanes 
Let me take a selfie  
bigfish  
My personal vegan heaven veganmilk foodinspain  Lloret de Mar 
blue  Playa FanalsLloret de Mar 
Goodnight everyone  Barcelona Matarô 
Its shopping time larocavillage is a shopping heaven  La Roca Village outlet shopping 
VACATION MODE  on bloglovin
Foodporn to be continued Vegetarian pasta with goat cheese pastaforever 
Big breakfast is always a good idea breakfast vegetarian foodporn 
Evening walk with sis  
My fave view  lloretdemar vacationmode  Platja De Sa Boadella 
Home sweet home lloretdemar mysecondhome  Lloret de Mar 
Avocado toast  best food in Spain  Lloret de Mar 
Wow Thank you so much
Looking forward to go on vacation 
When you get rid of all the ghosts from your past life becomes so clear and so boring
Beautiful rainy garden in my yard  
ASHGABAT TRIP  on bloglovin
Strawberry  vanilla ice cream Pls kill me now 
bondarev_art First Date exhibition  Beatnik 
sobaka_ru loves me I love you too bestdressed Im wearing whitebyparfionova tatyanaparfionova 
Real summer foodporn  
VEG SUNDAY Baked Zucchini and Mushrooms with Bulgur  on bloglovin
RT Interesno_Vsem 
SaintPetersburg is amazing today We managed to watch the rehearsal of Scarlet Sails  the annual 
Good night saintp 
QampA  on bloglovin
ASHGABAT LOOK  on bloglovin
Red carpet Ashgabat style  top50sobakaru 
MY CHOICE Best Summer Dresses Online  on bloglovin
Plans for June  on bloglovin
Blondy blond 
Lovely weekend with family  Petergof Palace 
SaintP onelove  Peter and Paul Fortress 
fashionmindru 
MY CHOICE Best SS2015 skirts on Asos  on bloglovin
New look EXPLORING BOTANICAL GARDEN 
Details from the latest outfit post on my blog fashionmindru fashionblogger styleblogger 
EXPLORING BOTANICAL GARDEN  on bloglovin
Too much for one bike tatyanaparfionovaforelectra 
Me lately  
Birthday girls true face   TESLA BAR 
Sunny but cold  
Love asian food  Wong Kar Wine 
Orchids in all forms  Saint Petersburg Botanical Garden 
Fuchsia explosion  Saint Petersburg Botanical Garden 
Exploring botanical garden   Saint Petersburg Botanical Garden 
My SaintP 
Thats nice Ill answer with pleasure  fashionmindmailru
Let the weekend begin 
New look ZPump backstreet look 
ZPump backstreet look  on bloglovin
New outfit post is up on my blog fashionmindru fashionblogger styleblogger 
Happy weekend everyoneWearing updatemoscow dress and reebok_russia zpump sneakers 
And the most dangerous buddy 
"New post is up on my blog

fashionmindru

blogger fashionblogger lifestyleblogger "
My Stockholm Cherry blossom dream  on bloglovin
Peaceful view Stockholmmemories 
Good morning My new window view for a couple of days Now breakfast and then sightseeing  
Views of SaintP 
Vegetarian colorful lunch 
What can be better chillax 
From the past 
Right path 
I hated every minute of training but I said Dont quit Suffer now and live the rest of your life as a champion Muhammad Ali
Watching you 
Its weekend finally 
Working moments with parfionovateam  Trying on new whitebyparfionova collection  Photo 
WORKOUT The most important habits from my 9 weeks with Sekta  on bloglovin
L  legs 
Ready for a tough Saturday workout sekta sektaschool 
Life gets better 
In love with statement jewellery 
My love TomFord 
Black on Monday  
Its time for a sweaty workout 
aunaturel 
WORKOUT Sekta  my experience and thoughts from weeks 48  on bloglovin
Runway baby  on bloglovin
Sick and tired
Good night  
Some lovely details from my girly shelf and two fave fragrances right now tomford jomalone treasures 
Forest walk 
The flower doesnt dream of the bee It blossoms and the bee comes
Chilling before a busy day 
SaintP awakes  
Cheers 
Everybody loves me today
Birthday begins  Thank you darling 
Lifting up my mood with funny kitschy prints today Candyfloss cats and sequins  what else do we 
BUSY WEEK  on bloglovin
Me and my friend unicorn   Erarta Galleries St Petersburg 
Philip Treacy exhibition today   Erarta Galleries St Petersburg 
Spring comes to SaintP  Trinity Bridge Saint Petersburg 
Snow white morning  Have a nice day 
WORKOUT Sekta  3rd week  on bloglovin
Spring is in the air Photo from the latest post on my blog fashionmindru fashionblogger 
WEAR LOCAL  on bloglovin
Happy weekend everyone 
WORKOUT Sekta  2nd week  on bloglovin
WORKOUT Sekta  1st week  on bloglovin
BRAND I LOVE Mineral Weather  on bloglovin
Healthy treasures Thank you mum oils healthy 
Black coffee with my new fave mineralweather ring hands statementjewellery mineralweather 
Workout is done  sekta sektaschool justdoit yesican 
My working place with a new personal customized chair parfionova_homedesign with a cute fat cat 
WORKOUT CHALLENGE ACCEPTED  on bloglovin
by 100 true 
Challenge accepted  
Its Friday night 
HELLO 2015  on bloglovin
Grocery shopping in lloretdemar  Lloret De Mar Spain 
Dream place lloretdemar  Lloret De Mar Beach 
"Are you gonna be my love
Are you gonna be mine
My wave my shark my demon in the dark"
BimbaampLola lover is happy   La Roca Village 
Shopping therapy at La Roca Village   La Roca Village 
Blue lagoon  Platja De Sa Boadella 
New look Borzoi 
Evening gown in Russian style for my friends wedding  on bloglovin
Great idea motto 
You make me shy
Reaching for you from the endless dream
"Say something Im giving up on you
Ill be the one if you want me to"
Its was Mothers Day today  Family is the most precious thing 
Christmas tree by Fashion House specially for Astoria Hotel StPetersburg that we 
modernart Photo from my blog fashionmindru 
New look MODERN ART 
Outfit from the latest post on my blog fashionmindru Im wearing chicwish skirt See more photos 
Sunday is for Strong make up  
bonappetit 
Guilty pleasures  
Love that we are giving away not expecting to get anything in return make us really beautiful
Drink coffee and make magic during all day  
WEEKEND WELLNESS  on bloglovin
Nice shot made by during AFWR few years ago  
Is it forgotten story
Like a boy throwback 
November leaves nofilter 
Family place  
Cat is always a good idea 
New look ESCAPE 
My look from the latest post on the blog fashionmindru fashionblogger blogger 
ESCAPE  on bloglovin
Rainy Sunday is better than sunny Monday 
Me few years ago My fave photo by paulkuzu  
Featured in GRAZIA Magazine  on bloglovin
youdbetterworkbitch 
Sometimes you just need to take it easy 
"You wanna hot body
You wanna Bugatti
You wanna Maserati
You better work bitch
You wanna "
Cozy Sunday 
Nice decorations by buro247  AURORA FASHION WEEK Russia SS15 
Ready to go  fridaynight 
Bearded baby  bondarev 
Work in progress 
POPULAR LOOK  on bloglovin
So many events so little time  
Last years fall  
RT yournextjacket We are happy to feature the_Dominica and at 
LOVE CONFESSION  on bloglovin
New look Out of my comfort zone and wearing pants 
Details from the latest post on my blog fashionmindru fashionblogger blogger 
DRAMA PANTS  on bloglovin
New look MORNING COFFEE 
I wish a neverending September for every fall Untidy but so beautiful and perfect flower basket at 
Lovely colors for the start of new week colors floral winecolor greennails pants riverisland 
Happy Monday 
Keep it positive and smile  lategram 
You should listen to the song Sparks  I Married Myself Im sure youll like it So much about radical self love
RT CatOwlBlue Nataly Romashko is my wallpaper x 
Closed my heart
City colors nofilter saintp 
Patience  the word I should always remember Its sunny outside but my mood is rainy today 
What to do until September ends  on bloglovin
GALERIA FASHION CHALLENGE  on bloglovin
Reunited with dear friend  
TATYANA PARFIONOVA SS2015 collection Love Confession in Milan  on bloglovin
When I think that Im not loved by you anymore I feel so weak But I have to move on
VOGUE Fashions Night Out at TATYANA PARFIONOVA Fashion House  on bloglovin
Flowers for my lovely birthday girl  
Give me some love 
Back to school reflex  on bloglovin
beautiful 
New look POLKA DOT LOVER 
POLKA DOT LOVER  on bloglovin
parfionovateam goes to lunch  
New look PLASTIC BLOSSOMING 
Details from the latest post on my blog fashionmindru usluairlines lipstick makeup  coral 
PLASTIC BLOSSOMING  on bloglovin
Check my new outfit post on the blog fashionmindru  fashionblogger blogger 
New big post about my amazing trip to Amsterdam is already on the blog fashionmindru 
AMSTERDAM DREAM JOURNEY  on bloglovin
New look BACK TO BUSYNESS 
Cause Im a champion and you gonna hear me roar
Details from the latest outfit post on my blog fashionmindru heels zara babyblue skyblue shoes 
BACK TO BUSYNESS  on bloglovin
Summertime Sadness  on bloglovin
How to Be Great  via bloglovin
New look Elagin Island 
No Matter What Happens Its Your Attitude That Matters  via galadarling
Elagin Island  on bloglovin
Sweet dreams 
Summertime happiness 
Inspiration come back
New look AMSTERDAM IS LOVE 
My outfit matches cocacola style today  red and white colors  
Now Amsterdam is always in my dreams Ill get back there in blooming season  I promise myself 
Few days ago in my dreams you hugged me so tender as you wanted to protect me from smth Such an unforgetable feeling
Working day is over Missing parfionovateam in its full strength  
sagradafamilia 
Tossa  onelove  
tossademar 
TossadeMar 
Show me love
AMSTERDAM IS LOVE  on bloglovin
Hermès 
Please dont hate me  foodporn 
Sunset chilling 
Best summer food   avenida fenals 4 
Indian style dinner  Shiva 
iamsterdam happy colorful whitebyparfionova parfionova fashionmind fashionblogger summertime  
smile  Van Gogh Museum 
Chilling after Van Gogh Museum   Van Gogh Museum 
Old pavement of Amsterdam 
flowersofamsterdam nofilter 
Boys boys boys  
In Holland even the sky is made of flowers 
dreamcity 
amsterdam 
amsterdam 
Flowers after rain  
BEST DRESSED  on bloglovin
One day I hugged you and realized that youre my destiny Am I mad
Bloggers have to blog
Happy Monday everyone  Tatyana Parfionova 
partyhard 
Happy Birthday Masha  
Weekend mode 
Prom girl  
Bye bye Fashion House hello weekend 
Ill meet you some day and forever I know it
Pinkvelvet by limecrime is cool 
You are your own best friend
So true wise feminist 
I feel you watching me
Go home 
I see ghosts tonight
Coffee and cake with mum   Caffeteria 
New look DREAM BELIEVE ACHIEVE 
Good evening  And my phone has a new suit by whitebyparfionova birds 
Details from my latest outfit post on the blog fashionmindru fashionblogger style details ring 
DREAM BELIEVE ACHIEVE  on bloglovin
My beautiful sister  
Make up mood 
Sunday tenderness  
Lonely iced coffee 
Fast sightseeing lovemybike summertime 
Cool updatemoscow 
New look LILAC IN BLOOM 
Iris pants for bad weather  
Blue Tuesday   Tatyana Parfionova 
Back to healthy mode  
LILAC IN BLOOM  on bloglovin
Happy weekend everyone  happy weekend pastel fashionblogger chicwish top inbloom longhair 
Hello 
Why so serious 
Perfect weather  
Redheads 
Dinner with a great view 
SaintP is always perfect for me nofilter saintp whitenights summertime stpetersburg 
Fuckin liars Hate men sometimes
Happy and blooming at work  atwork workinggirl tatyanaparfionova fashionhouse saintp happy 
Hello  Tatyana Parfionova 
Never doubt yourself You can do anything believeinyourself and dreambig 
katypu Happy Birthday at TATYANA PARFIONOVA Fashion House   Tatyana Parfionova 
Birthday flowers for katypu  nofilter happybirthday flowers violet 
Working hard with katypu  myworkingplace atwork tatyanaparfionova fashionhouse  Tatyana Parfionova 
SHOES HEAVEN  SS 2014  on bloglovin
Feed me bitch  
Sailor style double dressing situation  sailors saintp saintpapparel sweatshirts blue 
knitted streetart saintp 
"You can go the distance
You can run the mile
You can walk straight through hell with a smile

You can "
Sweet dreams  
Its time for party  shockingpink partyhard 
saintp streetart 
My boy  yachtsman 470 sailing 
This fabric with prints by parfionova will soon become a wearable art and a part of 
Hanging out with all our family cats today  
You should dream believe and achieve  motto 
Colorful morning with whitebyparfionova  parfionova tatyanaparfionova atwork 
partyhard 
Girls just wanna have fun 
Tattooed legs for tonight tattoo pinupparty partyhard 
Shes watching you Window of TATYANA PARFIONOVA Fashion House with WHITE by Parfionova SS2014 
My look from 2012 Need to wear that pants more tbt mylook red widepants elegant boldlook 
tbt  I decided to remember some of my fave looks from previous years This one is from 2011 It was 
Marble morning marblepalace art museum saintp russia 
I need to calm down and not criticize myself all the time
longhair forever 
New look WHEN SPORT MEETS LADYLIKE 
WHEN SPORT MEETS LADYLIKE  on bloglovin
Sunday outfit  metoday lookoftheday outfit weekendlook saintp red bw polkadots russiangirl 
My most fave bimbaylola coat camelcoat coat casualwear streetstyle blogger fashionblogger 
Saturday walk saintp weekend bimbaylola rebeccaminkoff shopbop streetstyle blogger 
Insta life post  March  April  on bloglovin
Me and masha_renard  we are shooting stars  afwr interview 
Not bad Bevza bevza afwr 
bevza afwr 
Keep mooving guys  sportmorning startyourdayright 
"All I wanted was to break your walls
All you ever did was wreck me"
DREAM BIG WORK HARD  on bloglovin
Grocery shopping 
Inspiring flowers at home Goodnight world 
Ready for the show Our guests will see WHITE by Parfionova FW201415 collection very soon 
On my way to Moscow with parfionovateam   We are going to make a great show today 
Bloggers never sleep
New look THE LAST DAY OF 25 
Dinner with friends kingpong dinner 
Flowers at the Fashion House fashionhouse tatyanaparfionova 
BRAND I LOVE Rebecca Minkoff  on bloglovin
Colorful dinner with katypu  Sashas Resto Bar 
Photo from the last post on my blog fashionmindru Wearing a beautiful suit from WHITE by Parfionova 
BIRTHDAY SKATING  on bloglovin
Waiting for the weekend to begin  
