Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
1П.docx,3.37,1,1.12,8.99,15.73,5.62,16.85,11.24,22.47,2.25,3.37,0,муж.,10.7777777778,0.7010309278,4.4226804124,0.8676470588,477.9411764706
20Л.docx,3.85,1,14.1,16.67,17.95,6.41,16.67,11.54,19.23,6.41,2.6,1,муж.,11.375,0.6813186813,4.2637362637,0.7741935484,398.02289282
20П.docx,1.25,1,8.75,12.5,13.75,7.5,8.75,2.5,17.5,7.5,1.28,0,муж.,11.375,0.6813186813,4.2637362637,0.7741935484,398.02289282
21Л.docx,6.99,1,5.59,9.09,15.38,11.89,20.98,11.89,25.17,2.11,6.34,1,муж.,10.8125,0.6531791908,4.3063583815,0.8495575221,416.6340355549
21П.docx,4.46,1,10.62,16.81,11.5,5.31,14.16,7.96,25.66,8.85,4.42,0,муж.,10.8125,0.6531791908,4.3063583815,0.8495575221,416.6340355549
22Л.docx,2.12,1,9.32,15.68,14.41,9.75,13.56,5.51,18.64,6.36,2.17,1,муж.,16.4117647059,0.6308243728,4.4408602151,0.8181818182,400.6327479339
22П.docx,2.29,1,9.14,15.43,18.29,7.43,13.71,6.29,21.14,6.29,2.31,0,муж.,16.4117647059,0.6308243728,4.4408602151,0.8181818182,400.6327479339
23Л.docx,4.64,1,10.13,13.92,13.92,12.24,16.88,8.02,21.1,8.86,4.66,1,жен.,19.8571428571,0.6151079137,4.1115107914,0.8187134503,477.0698676516
23П.docx,4.97,1,6.21,10.56,6.21,13.04,25.47,9.94,27.95,3.73,5,0,жен.,19.8571428571,0.6151079137,4.1115107914,0.8187134503,477.0698676516
24Л.docx,3.75,1,14.66,27.82,12.41,12.78,23.31,10.9,22.56,12.03,3.79,1,муж.,21.1333333333,0.5078864353,4.0536277603,0.7391304348,919.7176034875
24П.docx,3.2,1,11.47,18.81,12.39,10.09,22.02,6.88,26.61,7.34,3.23,0,муж.,21.1333333333,0.5078864353,4.0536277603,0.7391304348,919.7176034875
25Л.docx,2.98,1,10.64,15.74,14.89,8.09,16.6,4.68,15.74,8.94,3,1,муж.,17.7333333333,0.6203007519,4.484962406,0.8242424242,402.9384756657
25П.docx,3.05,1,11.59,14.63,12.2,8.54,14.02,5.49,21.34,9.76,2.47,0,муж.,17.7333333333,0.6203007519,4.484962406,0.8242424242,402.9384756657
26Л.docx,2.58,1,7.25,15.03,10.88,9.84,18.65,8.29,30.57,3.61,3.09,1,муж.,19.9166666667,0.6778242678,4.5188284519,0.8333333333,296.0676726109
26П.docx,3.14,1,6.28,9.87,17.04,8.52,19.28,8.52,31.39,4.04,2.7,0,муж.,19.9166666667,0.6778242678,4.5188284519,0.8333333333,296.0676726109
27Л.docx,2.77,1,8.7,11.86,12.25,11.07,21.34,8.3,23.32,5.98,2.78,1,муж.,33.7777777778,0.5394736842,4.0986842105,0.7682926829,864.0690065437
27П.docx,3.72,1,10.53,17.65,11.76,8.36,18.27,9.29,24.77,6.19,3.73,0,муж.,33.7777777778,0.5394736842,4.0986842105,0.7682926829,864.0690065437
28Л.docx,4.52,1,7.1,9.68,20,5.16,11.61,7.74,16.77,5.81,4.55,1,муж.,14.6666666667,0.6590909091,5.4943181818,0.8017241379,325.5053507729
28П.docx,4.52,1,8.04,8.54,15.58,8.04,18.09,11.06,16.08,3.48,4.57,0,муж.,14.6666666667,0.6590909091,5.4943181818,0.8017241379,325.5053507729
29Л.docx,3.85,1,12.39,8.97,12.82,7.69,18.38,10.26,19.66,7.69,4.27,1,муж.,11.2,0.6071428571,4.1357142857,0.7823529412,500.3460207612
29П.docx,4.76,1,10,9.05,16.19,8.57,19.05,10,25.24,6.19,5.24,0,муж.,11.2,0.6071428571,4.1357142857,0.7823529412,500.3460207612
2Л.docx,5.49,1,14.29,19.78,12.09,10.99,18.68,12.09,17.58,15.38,5.49,1,жен.,11.8888888889,0.7102803738,4.523364486,0.8289473684,334.1412742382
